,attendant,ROI,DTW,PCC,CCC,RMSE,MAE
894,40.0,left marionette fold,2.3411345839743043,0.2723706034164907,0.23415499352708657,2.8000088142645305,9.079098691897896
895,40.0,right marionette fold,2.5053762034224536,0.32696367431237283,0.25424285142753694,2.242085741296564,5.889453479143398
896,41.0,lower medial forehead,2.381207811326363,0.28989132296985864,0.25476979760560775,1.868657962541003,3.597957940624762
897,41.0,left lower lateral forehead,2.2908469393626487,0.2906205029501483,0.2748176935121514,2.1465356064739067,5.109879944041728
898,41.0,right lower lateral forehead,2.6076626919256225,0.2709372315278652,0.22742954179099945,2.6149247126292865,8.343638775569106
899,41.0,glabella,2.5324852832625817,0.27202732468765745,0.23163161127671422,1.8955644284937196,3.671569592232973
900,41.0,upper nasal dorsum,2.633058603425392,0.17820502760238785,0.15309212889559726,3.470658185926458,12.954983474182418
901,41.0,lower nasal dorsum,2.697698395708243,0.2188200551118297,0.16862762403033973,3.025976316762133,9.927874449670297
902,41.0,soft triangle,2.5773932082070914,0.16158067551682212,0.13909969077102116,4.748112238586684,23.072460541734745
903,41.0,left ala,2.482836024387585,0.16749393134877386,0.14023521600851016,3.9163184062998035,15.951248135715016
904,41.0,right ala,3.094465211498513,0.07511342311276836,0.05949279270762986,5.503441882498491,31.16024627084276
905,41.0,nasal tip,2.7312741850943216,0.12468747246631749,0.10107951178902715,4.927427880310739,24.89915667152197
906,41.0,left lower nasal sidewall,2.6921995551014253,0.13051098782300616,0.10327987920270129,4.957694866762497,25.6561593167634
907,41.0,right lower nasal sidewall,2.983098731955544,0.10689085272932555,0.08577684187399712,6.044258762750837,37.27775844438544
908,41.0,left mid nasal sidewall,2.5422166736227525,0.1068830120522389,0.09290371006591444,5.580903758711663,31.479789959821634
909,41.0,right mid nasal sidewall,2.7253081602462084,0.2022380206754102,0.16592086856302624,4.897845313702874,25.143980261154272
910,41.0,philtrum,3.1521227597900108,0.09324911720852361,0.06276094844839514,5.975328136381391,36.22420824692795
911,41.0,left upper lip,2.961503986633911,0.049395225618370495,0.03598207013452126,6.0509078946782475,36.89708112314288
912,41.0,right upper lip,3.2662494198310412,0.12416356907820603,0.08591890765671385,6.0128141304721625,36.86787554805177
913,41.0,left nasolabial fold,2.9669022753832057,0.06303827600758018,0.05415207275407945,6.378375752087552,40.918070533622995
914,41.0,right nasolabial fold,3.1751201592959895,0.1249623008129918,0.09994728568065338,6.278533546096375,39.88950804593254
915,41.0,left temporal,2.440892304000451,0.08508876758671992,0.07376990842437972,6.07345897948998,37.56144023429296
916,41.0,right temporal,2.9402393481322546,0.11050406879226192,0.0951323120229737,5.488198940046728,32.456439938221955
917,41.0,left malar,2.6824373080138497,0.13182238092961346,0.10551963562585127,4.6648458825986205,22.389168428048652
918,41.0,right malar,2.654096990867096,0.2250299852532213,0.18648728808669568,2.6697862000448227,8.600613451550407
919,41.0,left lower cheek,2.8762721236148012,0.09211454715630267,0.068703254479184,5.425186015574736,29.93094555422869
920,41.0,right lower cheek,2.852317001516806,0.12598860130691855,0.10591016532272025,5.875141776302593,35.12697827114891
921,41.0,chin,2.860898424538027,0.1332819874343738,0.11195542793632642,5.556742441236486,31.301862685375188
922,41.0,left marionette fold,3.0711117390433986,0.09099283508994309,0.06564552668658763,6.324404245479804,40.6971213960457
923,41.0,right marionette fold,2.7664534490992536,0.11042981701084274,0.09463738337389659,5.672714756876031,32.833216996604676
924,42.0,lower medial forehead,2.389667116233647,0.32497504530442795,0.3023264579480543,1.6136563995721054,2.945349698355009
925,42.0,left lower lateral forehead,2.562434889521208,0.35098260399046505,0.3006463657185089,1.664215425816319,3.124380608097702
926,42.0,right lower lateral forehead,2.6312100756759773,0.3269207754117642,0.28480788577741184,1.5899775644368812,2.8913687511235437
927,42.0,glabella,2.298407882531598,0.35721361165554877,0.335156081461007,1.6175477062941372,2.9546336296330105
928,42.0,upper nasal dorsum,2.6182398111319336,0.32103038872452344,0.28788011402928176,1.638689312897292,3.0630411394669963
929,42.0,lower nasal dorsum,2.6191503954487767,0.2779228162119885,0.23483857785998682,2.0792249482512064,5.014605825366398
930,42.0,soft triangle,2.58952127011649,0.2762195845569795,0.23261019098644042,2.0377302675730156,4.739114883554761
931,42.0,left ala,2.6587464790829416,0.1920802675543419,0.1613019667094837,3.3117958224685333,14.073679581637382
932,42.0,right ala,2.5295425521625328,0.18187427426431288,0.15485800637640587,2.857613113626509,9.846872001518674
933,42.0,nasal tip,2.4865166628886004,0.28310117396496126,0.24451870259158412,1.8272990185833986,3.5740556056844106
934,42.0,left lower nasal sidewall,2.5335379941798997,0.23071174309186845,0.19955534717470425,1.775670248736361,3.578468165109141
