Unnamed: 0,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
39,4.0,15.8,right lower nasal sidewall,3.6948740340937127,0.2494864152665224,0.1561184670627437,7.125742923821268,42.5151952116072,0.5712867230438966
40,4.0,15.8,left mid nasal sidewall,3.608904924376302,0.2293258403577464,0.15233855983381342,5.585294622301159,29.575177634277168,0.39434843107533735
41,4.0,15.8,right mid nasal sidewall,3.8988594271451245,0.2541302053176219,0.1550191907401536,6.804849221617045,39.920834684236326,0.5327878456457056
42,4.0,15.8,philtrum,3.3013235314890346,0.2803334257661205,0.20739414889574256,6.459056991080131,35.41158908943922,0.46977311642393865
43,4.0,15.8,left upper lip,3.6065867298203007,0.17156974082560852,0.11441266483470565,8.127393551868453,52.36108690209156,0.7008161727923152
44,4.0,15.8,right upper lip,3.996089082414576,0.19624376195888724,0.11949010345774806,7.166053346186445,42.34115663458432,0.5665394486890062
45,4.0,15.8,left nasolabial fold,3.529964993022405,0.1710871741288996,0.11711105127491833,7.168214246033138,43.441002650161465,0.5829814753601318
46,4.0,15.8,right nasolabial fold,3.5225420653091253,0.20194921568264,0.13459545199553166,7.85445398599165,50.01945447825043,0.6736386211708356
47,4.0,15.8,left temporal,3.627303706261023,0.12798017866957237,0.085432377847182,6.441560048507934,37.80187020451131,0.5019471094656028
48,4.0,15.8,right temporal,3.7630687645656686,0.12796157913196501,0.08406697391512707,8.588824395713958,57.64453266176093,0.7739064289204501
49,4.0,15.8,left malar,3.0751745794973235,0.3507586780380008,0.26996864587265995,1.5971730662726766,2.0848114100032604,0.027444797013754435
50,4.0,15.8,right malar,3.6264035663869745,0.3545377471861279,0.24362981005400366,1.8359475076751457,2.7466412372545452,0.03616202239200386
51,4.0,15.8,left lower cheek,3.616644244972937,0.33705904367136497,0.24016541926720095,2.1889379260303183,5.015146998381307,0.06686929404162642
52,4.0,15.8,right lower cheek,3.40614784268529,0.27240488307472205,0.2090636526290582,3.489586378350604,12.981883512204698,0.1713257442676737
53,4.0,15.8,chin,3.701948795139481,0.20693956375701114,0.13808035066419086,3.013605448116221,9.568125003182876,0.12879417077328212
54,4.0,15.8,left marionette fold,3.53361175233052,0.23999747405155225,0.16367099437132296,5.913943873861463,30.240294759767465,0.4076417955708321
55,4.0,15.8,right marionette fold,3.559380267586727,0.21203911071249051,0.1483333521292697,8.038714498076041,52.03537034323085,0.6995037260322858
56,4.0,25.1,lower medial forehead,3.8372797535210688,0.34104769456453793,0.2267457425573481,2.401880258254117,6.061056284309963,0.08332962537743317
57,4.0,25.1,left lower lateral forehead,3.75666924211932,0.2730317420812951,0.1923595762653966,2.675104190934905,6.76643157846678,0.09205621955819047
