,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
48,4.0,15.8,right temporal,2.8184945588881796,0.10728918605258438,0.07097917029000901,6.788252724938484,47.73927883868348,0.6417073248845293
49,4.0,15.8,left malar,2.4007027950726862,0.3040694828892881,0.23801626171291645,1.2206897792772853,1.608163825851013,0.021203201568571084
50,4.0,15.8,right malar,2.793228926268238,0.2817797936496598,0.197609845633964,1.3210624897528567,1.857122728033442,0.02450407020858185
51,4.0,15.8,left lower cheek,2.635351186917494,0.2688668825916169,0.20693109240805407,1.2942337049509616,1.7897908046311028,0.023615433723976304
52,4.0,15.8,right lower cheek,2.891041995586732,0.17664067765798827,0.1223390710730976,2.122384559618188,5.691695707481959,0.07500278027951836
53,4.0,15.8,chin,2.7324984117231033,0.1368705982274561,0.09231419199956387,2.1008445851803614,4.787564246530528,0.06436055048465698
54,4.0,15.8,left marionette fold,2.6657908410387106,0.16644218692487836,0.11180686058644607,3.9769705121043253,20.28048419462848,0.27463801353766865
55,4.0,15.8,right marionette fold,2.773146339224081,0.13690130078589527,0.09008355993652374,5.726775432426948,34.69713237273417,0.46834214694114906
56,4.0,25.1,lower medial forehead,2.5981368249077033,0.27252932828690646,0.21088657331267768,1.2280509913396667,1.5455457859870425,0.020967713614059167
57,4.0,25.1,left lower lateral forehead,2.7978847148459476,0.22393618538414573,0.1609137889672356,1.6501491455858899,2.9894426994171255,0.04048190479086254
58,4.0,25.1,right lower lateral forehead,3.0194638547551143,0.20935502567341568,0.1396174008686131,1.8734796739209545,4.494974823927106,0.06142999996921153
59,4.0,25.1,glabella,2.85056746289654,0.2567859817872357,0.19544496383628826,1.1647258085259173,1.412209651923413,0.01922130658928931
60,4.0,25.1,upper nasal dorsum,2.8366854547254654,0.29224396826265003,0.22261492801128843,1.230419674780901,1.589998452417892,0.021600555746108616
61,4.0,25.1,lower nasal dorsum,2.8915388120609307,0.24612430463264937,0.17818651816971265,3.0701824847984125,10.889542454725273,0.14737428702095032
62,4.0,25.1,soft triangle,2.7475485593867517,0.25643988125022604,0.18992614976888667,1.2218308040148902,1.5194174599740322,0.020829526822243604
63,4.0,25.1,left ala,2.795629215833003,0.17924222666461723,0.11364032482137747,2.669302565946768,9.778052897097828,0.1331286986796197
64,4.0,25.1,right ala,3.2092612917603383,0.20198467773068832,0.14167914826616332,2.0153051457595064,4.34846422589274,0.05956910982680602
65,4.0,25.1,nasal tip,2.7426759969140626,0.23095797910294927,0.16199782462165893,1.293397939907918,1.7050848931531908,0.02318932639215929
66,4.0,25.1,left lower nasal sidewall,3.1329056116343192,0.17031771926155495,0.1066161841566012,3.2688827898559993,12.525096333744964,0.17289308827452168
67,4.0,25.1,right lower nasal sidewall,3.018593586867599,0.11852026009672034,0.09230874546761103,4.5373115567833375,24.244278431286713,0.3308131415201658
68,4.0,25.1,left mid nasal sidewall,2.7715741677847188,0.1852722068354364,0.1461919685496967,4.34844711555576,21.986607783025054,0.30008267619421963
69,4.0,25.1,right mid nasal sidewall,2.896723373005425,0.13147014633792486,0.08638718415259249,3.5234078966720825,14.930938801702018,0.2016612045796308
70,4.0,25.1,philtrum,2.6343873342375326,0.1684930000706346,0.1299922982111403,1.6574827770621645,3.2497296162597027,0.04450773833578156
71,4.0,25.1,left upper lip,2.9012135623145157,0.1460777498107517,0.09818932748801808,2.224527728338197,6.359843848268169,0.09195378520750241
72,4.0,25.1,right upper lip,3.225708560758638,0.1686247224680554,0.10251606504279716,4.054825797787245,18.705813473919836,0.2570536244520551
73,4.0,25.1,left nasolabial fold,2.9745117270798667,0.1590195972182662,0.10192797224284685,3.9368969266537355,21.12995962768352,0.296395359585734
74,4.0,25.1,right nasolabial fold,2.5139722974420224,0.15993376708588505,0.12305293717168723,2.6823134606220513,10.44523451571756,0.14219537676966468
75,4.0,25.1,left temporal,2.8268376860925706,0.11084260871375207,0.07035844429850496,5.688729759156975,36.038015081714526,0.5029863461548058
76,4.0,25.1,right temporal,3.4096464348924864,0.11548253577063072,0.058194432654817475,7.9216083833918605,65.27656763102982,0.8995109519537046
77,4.0,25.1,left malar,2.5683857332190407,0.275907437727894,0.22542998781861878,1.1088235793131276,1.331205624967958,0.01808196200345046
78,4.0,25.1,right malar,2.780420835310009,0.280506643581471,0.21130640361153463,1.18129692134688,1.5064352650879247,0.020470755419228034
79,4.0,25.1,left lower cheek,2.7306352392125945,0.2490230721012002,0.18951834236373985,1.1888354471531126,1.4947605064830911,0.020387332732187815
80,4.0,25.1,right lower cheek,3.084964167737033,0.23827154664222647,0.16746699335704998,1.1964658364544543,1.5097434951483917,0.02045413179050437
81,4.0,25.1,chin,2.7617654799842852,0.21620862831290732,0.16760149123682266,1.3441896128119533,1.8487734271940617,0.025287713140779478
82,4.0,25.1,left marionette fold,2.906120413781401,0.23783678374281036,0.16590158272257963,3.4334821673829876,15.379266022485737,0.2094758413014722
83,4.0,25.1,right marionette fold,2.9634950070083392,0.18434260193658547,0.13439025239966537,2.892465624037243,11.304798677602266,0.15356030004868557
84,4.0,39.8,lower medial forehead,2.5132532475220386,0.31269923598861665,0.21076457924346603,1.4916992861377578,2.274748460101676,0.031399459506269545
85,4.0,39.8,left lower lateral forehead,2.5962654188260643,0.2482744759076193,0.15603752117880687,1.5624696129664726,2.490130838243472,0.03426647893251269
86,4.0,39.8,right lower lateral forehead,2.681470731207997,0.2964125840312444,0.18293694242141909,1.534308931843925,2.421547487476586,0.033489351694917166
87,4.0,39.8,glabella,2.485147978762036,0.30921157493807655,0.22040353767331414,1.449706128892114,2.1724104656256507,0.02992220425003908
88,4.0,39.8,upper nasal dorsum,2.2318306075499623,0.3373222986870618,0.28180418797492846,1.526008341851828,2.413123722895362,0.03328052419352164
89,4.0,39.8,lower nasal dorsum,2.5075975061230746,0.26935431322991815,0.18905703571381052,2.27036367293751,7.376237272672067,0.10229428415099161
90,4.0,39.8,soft triangle,2.7438109452517043,0.22002051139924725,0.13122380679192816,2.139286388377787,6.3166338840338385,0.08674269379032679
91,4.0,39.8,left ala,2.5009113570656463,0.272465390665757,0.1842369422238526,1.468042764101429,2.239505065296821,0.030881864722277854
92,4.0,39.8,right ala,2.6584946607282105,0.2883975007979046,0.2008197370171393,2.3020130346975844,6.0082602819032,0.08241592542347485
93,4.0,39.8,nasal tip,2.388141282592286,0.27700066429716935,0.20170485701601917,1.9997897321018414,5.163835593556824,0.07111887568451922
94,4.0,39.8,left lower nasal sidewall,2.42797242945621,0.31368445007365636,0.23049801305882175,1.6694567773611366,2.8116675007100635,0.03883810825057419
95,4.0,39.8,right lower nasal sidewall,2.51799170155675,0.2770509886311243,0.18414007616447955,1.9866450465099883,4.500395723404184,0.06196358973089174
96,4.0,39.8,left mid nasal sidewall,2.373823917076833,0.2831983811869865,0.19011491994785754,2.632882355058863,9.001166240348956,0.1267164500705711
97,4.0,39.8,right mid nasal sidewall,2.4770981485756556,0.24002326098036222,0.17421380663033206,2.515461997665937,7.340530111876757,0.10249632055547216
98,4.0,39.8,philtrum,2.4392445603448034,0.2795988031591549,0.19239499192489182,1.7808167374129045,3.1896486074581296,0.04413456498977741
