,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
118,david,resting,soft triangle,2.074729926,0.164735385,0.14199192,5.194076737,32.22372129
119,david,resting,left ala,2.269237556,0.105244961,0.084567173,5.778292204,36.54166959
120,david,resting,right ala,1.995482292,0.160686434,0.142132525,2.438346226,8.241223235
121,david,resting,nasal tip,2.198273922,0.093295951,0.079994538,4.908308692,27.91132593
122,david,resting,left lower nasal sidewall,2.245621614,0.099138867,0.083903779,6.8730945,48.99106804
123,david,resting,right lower nasal sidewall,2.043501674,0.117755216,0.103289019,2.555971295,8.33014941
124,david,resting,left mid nasal sidewall,2.182396382,0.151792063,0.124485072,6.53344615,44.47171302
125,david,resting,right mid nasal sidewall,2.024687217,0.131042118,0.115631647,3.239185354,13.36282733
126,david,resting,philtrum,2.060766894,0.139630822,0.11706832,6.309508435,41.65432093
127,david,resting,left upper lip,2.125337323,0.116926997,0.099646744,6.147882798,39.75270059
128,david,resting,right upper lip,2.033700263,0.10456127,0.09242574,6.432596926,43.26436703
129,david,resting,left nasolabial fold,2.220446165,0.156814986,0.128758602,3.71765312,17.40421291
130,david,resting,right nasolabial fold,2.026475111,0.173517829,0.160296902,2.719571372,10.33901286
131,david,resting,left temporal,2.044665766,0.156959967,0.134419354,2.540894879,7.661958478
132,david,resting,right temporal,1.992419066,0.22563092,0.205932222,1.672148736,2.936396563
133,david,resting,left malar,2.033831002,0.243662541,0.227480674,1.60537973,2.641691937
134,david,resting,right malar,1.926786657,0.265814163,0.249777222,1.567393539,2.550444742
135,david,resting,left lower cheek,1.98525277,0.233358024,0.215586203,1.650373872,2.76629282
136,david,resting,right lower cheek,1.952134741,0.229804886,0.21049617,1.571558554,2.542108702
137,david,resting,chin,1.98088609,0.238691871,0.220890816,1.67490262,2.868475969
138,david,resting,left marionette fold,2.062548181,0.147754176,0.128840188,2.771240286,10.64850886
139,david,resting,right marionette fold,2.02709417,0.135152492,0.121702708,3.1279885,13.19825593
140,david,gym,lower medial forehead,2.391042859,0.290823135,0.244081423,3.035806463,11.95789673
141,david,gym,left lower lateral forehead,2.421075886,0.267657347,0.223691413,3.101524067,12.16214805
142,david,gym,right lower lateral forehead,2.457638357,0.242467891,0.198790615,3.753274199,17.05970281
143,david,gym,glabella,2.38728078,0.293466376,0.245676905,2.862370812,10.7687983
144,david,gym,upper nasal dorsum,2.474957813,0.194691401,0.158667536,4.400178919,21.80871578
145,david,gym,lower nasal dorsum,2.53964356,0.116353498,0.090506711,6.450785133,42.71608218
146,david,gym,soft triangle,2.47691784,0.127752565,0.104969664,5.861262119,35.28447607
147,david,gym,left ala,2.537511244,0.107078795,0.086148925,6.609649966,45.0099113
148,david,gym,right ala,2.558559588,0.1094745,0.086460375,6.355454702,41.78202888
149,david,gym,nasal tip,2.522810615,0.125242904,0.101406435,5.97709261,37.27071665
150,david,gym,left lower nasal sidewall,2.556394244,0.119016675,0.093671762,6.109571783,38.9096656
151,david,gym,right lower nasal sidewall,2.505141505,0.127503127,0.102706763,5.929973144,36.86355786
152,david,gym,left mid nasal sidewall,2.470172052,0.117673415,0.094078152,5.671710038,33.00921705
153,david,gym,right mid nasal sidewall,2.58064792,0.115681696,0.090632709,5.949982061,36.74101099
154,david,gym,philtrum,2.563370377,0.116688447,0.090537803,6.701734887,45.87187823
155,david,gym,left upper lip,2.565627666,0.112266862,0.089317736,6.600941524,44.46498091
156,david,gym,right upper lip,2.544025828,0.120702169,0.094966014,5.843638996,35.49371664
157,david,gym,left nasolabial fold,2.453601494,0.151372212,0.123659303,5.036683979,27.55011541
158,david,gym,right nasolabial fold,2.484182237,0.164609184,0.132815907,5.250677955,29.59277072
159,david,gym,left temporal,2.556031943,0.145375885,0.119389851,6.183073041,39.62446655
160,david,gym,right temporal,2.582792777,0.144809058,0.116397147,5.569612635,32.86305234
161,david,gym,left malar,2.494136854,0.243715096,0.201462303,3.327814852,14.08328568
162,david,gym,right malar,2.46022138,0.239269519,0.197136379,3.264101199,13.77942614
163,david,gym,left lower cheek,2.491919674,0.18096445,0.147641119,5.346648183,30.90674313
164,david,gym,right lower cheek,2.503630748,0.181928027,0.147383828,5.110471429,28.26150617
165,david,gym,chin,2.496003735,0.149073146,#REF!,4.759195887,24.96934653
166,david,gym,left marionette fold,2.414737911,0.162807485,0.134562856,5.22976478,30.33097361
167,david,gym,right marionette fold,2.52576083,0.112754142,0.087819598,6.190152825,39.36715538
168,david,rotation,lower medial forehead,2.24232709,0.293965585,0.262098567,2.31270228,6.034436519
169,david,rotation,left lower lateral forehead,2.358073871,0.226647459,0.188211371,2.733864577,8.393566857
170,david,rotation,right lower lateral forehead,2.230888015,0.274133049,0.230150717,2.214634038,5.250775707
171,david,rotation,glabella,2.161015377,0.276907894,0.247870988,2.913399171,10.15380155
172,david,rotation,upper nasal dorsum,2.532806336,0.199317433,0.159261226,2.9907081,10.16033119
173,david,rotation,lower nasal dorsum,2.42719439,0.080563082,0.065564228,6.213035936,40.36268877
174,david,rotation,soft triangle,2.355205332,0.101740141,0.080422282,5.887028294,36.90604492
175,david,rotation,left ala,2.396452617,0.133412949,0.107681605,6.553302603,43.87365084
176,david,rotation,right ala,2.520009461,0.163756096,0.132848676,3.812674179,16.2343127
177,david,rotation,nasal tip,2.238625326,0.101716434,0.085474411,6.825027339,48.17080293
178,david,rotation,left lower nasal sidewall,2.122713607,0.155108902,0.131974959,6.816190145,49.12616131
179,david,rotation,right lower nasal sidewall,2.272227565,0.15693978,0.130079025,5.175226796,29.66800878
180,david,rotation,left mid nasal sidewall,2.371084473,0.101424153,0.080051613,6.670893813,47.0963697
181,david,rotation,right mid nasal sidewall,2.454130308,0.09443318,0.069181669,5.464723188,32.86123876
182,david,rotation,philtrum,2.278887624,0.165665844,0.139263812,4.442255147,21.23016776
183,david,rotation,left upper lip,2.686036894,0.1361492,0.104108118,5.573094802,31.50564261
184,david,rotation,right upper lip,2.266307345,0.176393895,0.145901066,5.088973733,29.53433851
185,david,rotation,left nasolabial fold,2.669800075,0.163021338,0.134000936,4.353434808,20.67579816
186,david,rotation,right nasolabial fold,2.411240468,0.209495784,0.166457233,4.101084336,18.5237133
187,david,rotation,left temporal,2.588329173,0.128650461,0.101373356,4.07895072,18.71525842
188,david,rotation,right temporal,2.402009683,0.228649785,0.197857795,3.18475793,11.2146827
189,david,rotation,left malar,2.609354757,0.20425033,0.175986338,2.796372874,8.526300354
190,david,rotation,right malar,2.23083854,0.296831876,0.262140807,2.246428681,5.511750117
191,david,rotation,left lower cheek,2.68807374,0.183685543,0.156849754,3.149083136,11.32802301
192,david,rotation,right lower cheek,2.24101039,0.291026224,0.257050716,2.18701731,5.207546039
193,david,rotation,chin,2.217749768,0.248929147,0.218180409,2.545539477,7.214332537
194,david,rotation,left marionette fold,2.714348827,0.118516692,0.090508927,4.85366965,24.46778305
195,david,rotation,right marionette fold,2.268112511,0.182407002,0.149689152,3.979555074,17.84027755
196,david,talk,lower medial forehead,2.319252923,0.162773345,0.124862461,4.489689028,21.96908782
197,david,talk,left lower lateral forehead,2.270543263,0.213768809,0.170520862,4.268595013,19.20727757
198,david,talk,right lower lateral forehead,2.234855605,0.178965442,0.142017769,4.373952437,19.8156248
199,david,talk,glabella,2.303336657,0.247878086,0.20328675,3.670742121,14.37270702
200,david,talk,upper nasal dorsum,2.244067692,0.150944113,0.120156675,4.246928679,18.72210789
201,david,talk,lower nasal dorsum,2.306778713,0.111615043,0.090555024,5.877475315,35.59815229
202,david,talk,soft triangle,2.289481762,0.097380534,0.072927363,5.871896708,35.2440534
203,david,talk,left ala,2.324665781,0.051486509,0.038352874,5.969361778,36.58224502
204,david,talk,right ala,2.245963441,0.116564383,0.089162998,5.450432665,30.49521872
205,david,talk,nasal tip,2.149880133,0.09111927,0.075266903,6.105931719,38.71879838
206,david,talk,left lower nasal sidewall,2.275345248,0.130265446,0.102674732,5.219353306,27.62628802
207,david,talk,right lower nasal sidewall,2.195266231,0.109376102,0.090397797,6.125164717,39.22233902
208,david,talk,left mid nasal sidewall,2.387903136,0.102140018,0.068865941,5.25173913,28.30660411
209,david,talk,right mid nasal sidewall,2.385145208,0.08918144,0.066010527,6.084331948,40.57196069
210,david,talk,philtrum,2.263089357,0.083679635,0.065055238,5.0680759,26.05000817
211,david,talk,left upper lip,2.286534069,0.104477785,0.083644497,5.065722555,25.9871775
212,david,talk,right upper lip,2.310442404,0.114382694,0.088773574,5.132416066,27.33239772
213,david,talk,left nasolabial fold,2.142012972,0.152964035,0.126580226,5.942226157,36.970692
214,david,talk,right nasolabial fold,2.30348265,0.107972006,0.084864929,5.448837391,30.19945574
215,david,talk,left temporal,2.269855323,0.088000545,0.070796931,5.536064166,31.99702993
216,david,talk,right temporal,2.283734109,0.168416154,0.130332818,5.977515605,37.84265074
217,david,talk,left malar,2.186247873,0.212924187,0.175981359,4.463185636,20.91707791
218,david,talk,right malar,2.229356048,0.179014616,0.14471608,4.733927809,23.50197919
219,david,talk,left lower cheek,2.305692391,0.197418755,0.149080795,4.650582464,22.44661957
220,david,talk,right lower cheek,2.32330218,0.172254157,0.134805729,4.680550269,22.64231385
221,david,talk,chin,2.397114755,0.172318519,0.127782474,5.377322828,29.47269656
222,david,talk,left marionette fold,2.430697023,0.137203935,0.102717491,4.816760884,23.97330085
223,david,talk,right marionette fold,2.227585862,0.144314424,0.117405354,5.200458792,28.1551414
