,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
99,4.0,1.0,left upper lip,2.2855362415803886,0.1746173553092495,0.12407842022837078,4.273343914439846,19.53650857335433
100,4.0,1.0,right upper lip,2.361972436552316,0.19358995553472866,0.13608445879229275,3.6583383682674904,14.42932124689944
101,4.0,1.0,left nasolabial fold,2.045714672053897,0.19119853596451847,0.15041153960851023,3.5152346414247284,13.672050929552032
102,4.0,1.0,right nasolabial fold,2.0939516118960912,0.20351824034751856,0.1642012663289422,3.5851317832797904,14.1925385575885
103,4.0,1.0,left temporal,2.2333994605214,0.2153888001906785,0.16749735994086873,4.296046669069361,20.72024453507816
104,4.0,1.0,right temporal,2.507690349231104,0.21123315727245232,0.13014068223404807,5.007987512840238,27.193301181517725
105,4.0,1.0,left malar,2.049207981134677,0.22137724644508433,0.1751878932284631,3.697555077368571,14.98451576895586
106,4.0,1.0,right malar,2.221789988376411,0.18243310143207678,0.14055530558803486,3.4957053416752983,13.525041823797945
107,4.0,1.0,left lower cheek,2.22748475717041,0.21868110021409737,0.1678152851248043,3.812395924941409,15.85278432445616
108,4.0,1.0,right lower cheek,2.441750749637011,0.175793528627225,0.13150865407229367,3.765560657627053,15.733908370131374
109,4.0,1.0,chin,2.2132689942934562,0.1744148768474668,0.12297784564683298,3.738279795048433,15.58895552310291
110,4.0,1.0,left marionette fold,2.1478238464200303,0.1810948821828371,0.13425648896614262,3.5342209215503892,14.114468334977456
111,4.0,1.0,right marionette fold,2.3668426938393115,0.1920248435721724,0.15001906015280286,3.5903941433873108,14.324978025086395
112,5.0,1.0,lower medial forehead,2.6466759889067633,0.2863210522854534,0.22092108302257532,2.7357104570087114,8.283106594235237
113,5.0,1.0,left lower lateral forehead,2.653663205294702,0.3212256000486714,0.24197858242937514,2.5297985341455616,7.26773230806352
114,5.0,1.0,right lower lateral forehead,2.763638653570414,0.3690621223036348,0.2667048933453742,2.2211987152764214,5.446756913101598
115,5.0,1.0,glabella,2.6943482862460724,0.35654145442845236,0.2680836734835011,2.3054307168347963,5.963988182595261
116,5.0,1.0,upper nasal dorsum,2.6222988110512735,0.32924000282091004,0.24773654179572316,2.3407792340733904,6.14144337327272
117,5.0,1.0,lower nasal dorsum,2.809663279367295,0.22742957785237383,0.1582718314824209,2.568523491729728,7.255703198250097
118,5.0,1.0,soft triangle,2.6854276872849527,0.2898367978407852,0.22611182792969642,2.3005255509499114,6.021793449448777
119,5.0,1.0,left ala,2.5681247647621097,0.22741461148895734,0.18176191917904921,2.667126061206885,7.900646491363082
120,5.0,1.0,right ala,2.644003698894917,0.2867571190609459,0.21862436901769347,2.4144932632319636,6.721382536583995
121,5.0,1.0,nasal tip,2.877752060746517,0.14051076911681928,0.10257423107613914,3.5176867181753324,13.363462492721736
122,5.0,1.0,left lower nasal sidewall,2.778040750120536,0.3159199484627488,0.23633331840821867,2.2998945870270022,6.095369603916166
123,5.0,1.0,right lower nasal sidewall,2.6810796447785123,0.25259322523695965,0.18133505934028585,2.1755758883448344,5.265419128274295
124,5.0,1.0,left mid nasal sidewall,2.4897514913927976,0.2974952766001046,0.2471434253706352,2.5195861438905864,7.468980111946982
125,5.0,1.0,right mid nasal sidewall,2.775551420827228,0.22524595971612027,0.16678495493838755,3.2298790555197074,11.46423660847007
126,5.0,1.0,philtrum,2.8365949747446435,0.14423243132524072,0.10796784325767014,4.072279262969093,17.87361485626164
127,5.0,1.0,left upper lip,2.9377832535559416,0.12618157703340382,0.08938171566234585,4.285310794936096,18.719689388679065
128,5.0,1.0,right upper lip,2.9935604136670584,0.15140755983232612,0.10954973249745578,3.9455807294150995,16.782675092514495
129,5.0,1.0,left nasolabial fold,2.9137020419809723,0.28990034239219714,0.2213084125387739,2.4793777601247275,7.129558352667803
130,5.0,1.0,right nasolabial fold,2.7594245239127897,0.317492531719165,0.2409971422631754,2.4094195682691755,6.740130698057857
131,5.0,1.0,left temporal,2.914773855822226,0.27587256255045883,0.18867803344695777,2.839055735961326,8.929914794700451
